2025/09/23 21:44:35 Starting backend API server on port 3001
2025/09/23 21:44:35 Backend API server starting on port 3001
2025/09/23 21:44:35 Also serving frontend static files from /Users/mbengtss/code/src/github.com/cldmnky/summit-connect-stockholm-2025/frontend

 ┌───────────────────────────────────────────────────┐ 
 │         Summit Connect Stockholm 2025 API         │ 
 │                   Fiber v2.52.9                   │ 
 │               http://127.0.0.1:3001               │ 
 │       (bound on host 0.0.0.0 and port 3001)       │ 
 │                                                   │ 
 │ Handlers ............ 12  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID ............. 98726 │ 
 └───────────────────────────────────────────────────┘ 

21:46:50 | 200 |       5.667µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:50 | 200 |       1.667µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:51 | 200 |     331.708µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:51 | 200 |       3.292µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:51 | 200 |       3.542µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:52 | 200 |       5.208µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:53 | 200 |     748.709µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:53 | 200 |         5.5µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:53 | 200 |       2.208µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:53 | 200 |     506.833µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:53 | 200 |       2.875µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:53 | 200 |       2.917µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:55 | 200 |     791.583µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:55 | 200 |      99.125µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:56 | 200 |     506.708µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:56 | 200 |       6.333µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:56 | 200 |           4µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:58 | 200 |       2.542µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:58 | 200 |     318.375µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:58 | 200 |       1.916µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:58 | 200 |     210.458µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:58 | 200 |       2.042µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:58 | 200 |       1.458µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:00 | 200 |     343.584µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:00 | 200 |       2.458µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:01 | 200 |     371.709µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:01 | 200 |       3.875µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:01 | 200 |       2.542µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:02 | 200 |       7.333µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:03 | 200 |     474.708µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:03 | 200 |       3.875µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:03 | 200 |     205.459µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:03 | 200 |       2.083µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:03 | 200 |       1.458µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:05 | 200 |     274.417µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:05 | 200 |       4.083µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:06 | 200 |         918µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:06 | 200 |      13.666µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:06 | 200 |       2.292µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:08 | 200 |       9.458µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:08 | 200 |    1.324667ms | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:08 | 200 |       9.958µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:08 | 200 |     717.458µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:08 | 200 |      10.542µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:08 | 200 |       3.209µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:10 | 200 |     315.375µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:10 | 200 |      27.125µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:11 | 200 |         208µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:11 | 200 |       2.042µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:11 | 200 |        1.25µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:12 | 200 |       4.208µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:13 | 200 |     509.458µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:13 | 200 |       4.209µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:16 | 200 |     804.625µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:16 | 200 |       7.083µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:16 | 200 |       3.833µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:18 | 200 |     511.416µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:18 | 200 |       6.959µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:18 | 200 |        5.75µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:21 | 200 |     515.458µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:21 | 200 |       8.458µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:21 | 200 |       3.416µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:21 | 200 |       7.417µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:23 | 200 |      422.25µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:23 | 200 |       3.916µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:26 | 200 |     531.208µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:26 | 200 |      72.458µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:28 | 200 |     486.584µs | 127.0.0.1 | GET | /api/v1/migrate | -
